,Dalc,Fedu,Fjob,G1_mat,G1_por,G2_mat,G2_por,G3_mat,G3_por,Medu,Mjob,Pstatus,Walc,absences,activities,address,age,failures,famrel,famsize,famsup,freetime,goout,guardian,hash,health,higher,in_Math,in_Portuguese,internet,nursery,paid,reason,romantic,school,schoolsup,sex,studytime,traveltime
0,1,4,teacher,5.0,0.0,6.0,11.0,6.0,11.0,4,at_home,A,1,4,no,U,18,0,4,GT3,no,3,4,mother,-1580738977344670944,3,yes,1,1,no,yes,no,course,no,GP,yes,F,2,2
1,1,1,other,5.0,9.0,5.0,11.0,6.0,11.0,1,at_home,T,1,2,no,U,17,0,5,GT3,yes,3,3,father,-9116850062058336750,3,yes,1,1,yes,no,no,course,no,GP,no,F,2,1
2,2,1,other,7.0,12.0,8.0,13.0,10.0,12.0,1,at_home,T,3,6,no,U,15,0,4,LE3,no,3,2,mother,1387820032251370165,3,yes,1,1,yes,yes,no,other,no,GP,yes,F,2,1
3,1,2,services,15.0,14.0,14.0,14.0,15.0,14.0,4,health,T,1,0,yes,U,15,0,3,GT3,yes,2,2,mother,-5830210562660165549,5,yes,1,1,yes,yes,no,home,yes,GP,no,F,3,1
4,1,3,other,6.0,11.0,10.0,13.0,10.0,13.0,3,other,T,2,0,no,U,16,0,4,GT3,yes,3,2,father,3756319455355066522,5,yes,1,1,no,yes,no,home,no,GP,no,F,2,1
5,1,3,other,15.0,12.0,15.0,12.0,15.0,13.0,4,services,T,2,6,yes,U,16,0,5,LE3,yes,4,2,mother,8351017837947556295,5,yes,1,1,yes,yes,no,reputation,no,GP,no,M,2,1
6,1,2,other,12.0,13.0,12.0,12.0,11.0,13.0,2,other,T,1,0,no,U,16,0,4,LE3,no,4,4,mother,-2430693299747449927,3,yes,1,1,yes,yes,no,home,no,GP,no,M,2,1
7,1,4,teacher,6.0,10.0,5.0,13.0,6.0,13.0,4,other,A,1,2,no,U,17,0,4,GT3,yes,1,4,mother,6353267981649075619,1,yes,1,1,no,yes,no,home,no,GP,yes,F,2,2
8,1,2,other,16.0,15.0,18.0,16.0,19.0,17.0,3,services,A,1,0,no,U,15,0,4,LE3,yes,2,2,mother,-7967730094893806132,1,yes,1,1,yes,yes,no,home,no,GP,no,M,2,1
9,1,4,other,14.0,12.0,15.0,12.0,15.0,13.0,3,other,T,1,0,yes,U,15,0,5,GT3,yes,5,1,mother,-7306552056033429693,5,yes,1,1,yes,yes,no,home,no,GP,no,M,2,1
10,1,4,health,10.0,14.0,8.0,14.0,9.0,14.0,4,teacher,T,2,2,no,U,15,0,3,GT3,yes,3,3,mother,-8984632800402021966,2,yes,1,1,yes,yes,no,reputation,no,GP,no,F,2,1
11,1,1,other,10.0,10.0,12.0,12.0,12.0,13.0,2,services,T,1,0,yes,U,15,0,5,GT3,yes,2,2,father,2443200283420418286,4,yes,1,1,yes,yes,no,reputation,no,GP,no,F,3,3
12,1,4,services,14.0,12.0,14.0,13.0,14.0,12.0,4,health,T,3,0,yes,U,15,0,4,LE3,yes,3,3,father,6311938937210204050,5,yes,1,1,yes,yes,no,course,no,GP,no,M,1,1
13,1,3,other,10.0,12.0,10.0,12.0,11.0,13.0,4,teacher,T,2,0,no,U,15,0,5,GT3,yes,4,3,mother,5885891601585421462,3,yes,1,1,yes,yes,no,course,no,GP,no,M,2,2
14,1,2,other,14.0,14.0,16.0,14.0,16.0,15.0,2,other,A,1,0,no,U,15,0,4,GT3,yes,5,2,other,-8456692366879441582,3,yes,1,1,yes,yes,no,home,yes,GP,no,M,3,1
15,1,4,other,14.0,17.0,14.0,17.0,14.0,17.0,4,health,T,2,6,no,U,16,0,4,GT3,yes,4,4,mother,-5989699854340549725,2,yes,1,1,yes,yes,no,home,no,GP,no,F,1,1
16,1,4,services,13.0,13.0,14.0,13.0,14.0,14.0,4,services,T,2,10,yes,U,16,0,3,GT3,yes,2,3,mother,-6783155867881986887,2,yes,1,1,yes,yes,no,reputation,no,GP,no,F,3,1
17,1,3,other,8.0,13.0,10.0,14.0,10.0,14.0,3,other,T,1,2,yes,U,16,0,5,GT3,yes,3,2,mother,4899543192917477942,4,yes,1,1,no,yes,no,reputation,no,GP,yes,F,2,3
18,2,2,services,6.0,8.0,5.0,8.0,5.0,7.0,3,services,T,4,2,yes,U,17,3,5,GT3,yes,5,5,mother,-2149695318256445287,5,yes,1,1,yes,yes,yes,course,no,GP,no,M,1,1
19,1,3,other,8.0,12.0,10.0,12.0,10.0,12.0,4,health,T,3,6,yes,U,16,0,3,LE3,no,1,3,father,-8552514810127013161,5,yes,1,1,yes,yes,no,home,no,GP,no,M,1,1
20,1,3,other,13.0,12.0,14.0,13.0,15.0,14.0,4,teacher,T,1,0,no,U,15,0,4,GT3,no,4,1,mother,-612177075945379263,1,yes,1,1,yes,yes,no,reputation,no,GP,no,M,2,1
21,1,4,health,12.0,11.0,15.0,12.0,15.0,12.0,4,health,T,1,0,no,U,15,0,5,GT3,yes,4,2,father,-1304590364477654980,5,yes,1,1,yes,yes,yes,other,no,GP,no,M,1,1
22,1,2,other,15.0,12.0,15.0,13.0,16.0,14.0,4,teacher,T,3,0,yes,U,16,0,4,LE3,no,5,1,mother,3445339453063699501,5,yes,1,1,yes,yes,no,course,no,GP,no,M,2,1
23,2,2,other,13.0,10.0,13.0,10.0,12.0,10.0,2,other,T,4,2,yes,U,16,0,5,LE3,yes,4,4,mother,8158385371020728560,5,yes,1,1,yes,yes,no,reputation,no,GP,no,M,2,2
24,1,4,health,10.0,10.0,9.0,11.0,8.0,10.0,2,services,T,1,2,yes,R,15,0,4,GT3,yes,3,2,mother,7959045262765123286,5,yes,1,1,yes,yes,no,course,no,GP,yes,F,3,1
25,1,2,services,6.0,10.0,9.0,11.0,8.0,12.0,2,services,T,3,6,no,U,16,0,1,GT3,yes,2,2,mother,5502509624373497432,5,yes,1,1,yes,no,no,home,no,GP,no,F,1,1
26,1,2,other,12.0,11.0,12.0,12.0,11.0,12.0,2,other,T,2,8,no,U,15,0,4,GT3,yes,2,2,mother,8269981019650405673,5,yes,1,1,yes,yes,no,home,no,GP,no,M,1,1
27,2,2,services,15.0,11.0,16.0,11.0,15.0,11.0,4,health,T,4,0,no,U,15,0,2,GT3,no,2,4,mother,7443983149901713214,1,yes,1,1,yes,yes,no,other,no,GP,no,M,1,1
28,1,4,other,11.0,12.0,11.0,12.0,11.0,13.0,3,services,A,1,2,yes,U,16,0,5,LE3,yes,3,3,mother,1119325098219418043,5,yes,1,1,yes,yes,yes,home,no,GP,yes,M,2,1
29,5,4,teacher,10.0,12.0,12.0,11.0,11.0,12.0,4,teacher,T,5,4,yes,U,16,0,4,GT3,yes,4,5,mother,4748958471747269589,5,yes,1,1,yes,yes,yes,home,yes,GP,no,M,2,1
